movie_id,title,release_year,avg_rating,num_ratings
8859,SuperBabies: Baby Geniuses 2 (2004),2004,0.87,257
6483,From Justin to Kelly (2003),2003,1.01,472
4775,Glitter (2001),2001,1.13,757
6587,Gigli (2003),2003,1.2,838
1826,Barney's Great Adventure (1998),1998,1.2,440
31698,Son of the Mask (2005),2005,1.22,832
61348,Disaster Movie (2008),2008,1.25,715
5739,Faces of Death 6 (1996),1996,1.28,172
3574,Carnosaur 3: Primal Species (1996),1996,1.32,145
6872,"House of the Dead, The (2003)",2003,1.34,558
